generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.482477,2223.651196,0.393127,14.293696,65.693936,34.578048,8.354272,0.808172,65.157513,1.294620,1.811552,40.531498,0.019376,0.024916,0.050693,12.115,0.054011,388.77,18.53,101.3,0.008075,0.991925,0,1
0.337003,5519.914909,0.265286,21.668739,67.594935,44.785684,7.516257,0.750952,42.010709,1.572727,1.990210,32.501241,0.007072,0.007664,0.054955,2.874,0.059903,102.50,5.29,94.2,0.013712,0.986288,0,1
0.278975,7171.774620,0.120612,10.675332,71.202479,41.483873,7.687287,0.935773,71.364103,1.632105,2.211084,41.752102,0.048544,0.081120,0.110888,21.429,0.146247,669.99,69.84,116.7,0.009479,0.990521,0,1
0.656706,3477.145809,0.156601,11.983075,72.182522,47.523063,7.946106,0.739697,93.901694,1.481052,2.317343,19.153982,0.038943,0.060772,0.111306,18.521,0.113700,395.27,41.36,92.8,0.014604,0.985396,0,1
0.225864,5782.796685,0.177953,13.209600,80.288692,22.691182,7.562903,0.695486,59.112086,1.623932,1.541207,18.394171,0.012869,0.017225,0.073315,5.249,0.079515,159.92,11.02,87.4,0.014081,0.985919,0,1
0.315015,5719.122005,0.386638,10.421600,55.152351,31.676901,8.104549,0.685217,95.218044,1.732841,1.869953,27.310073,0.053303,0.092794,0.113063,22.725,0.125111,550.41,58.50,84.5,0.014813,0.985187,0,1
0.295046,6329.942983,0.147280,22.422171,68.501217,36.847018,7.905746,0.890532,74.982112,1.568533,2.082876,29.151028,0.026665,0.041057,0.064635,13.608,0.068518,553.64,33.64,111.4,0.009543,0.990457,0,1
0.545603,2298.996517,0.410861,14.400891,55.039254,19.464361,8.341706,0.909973,74.041476,1.478709,1.354750,38.566258,0.026906,0.035749,0.048311,17.605,0.051223,659.04,29.93,113.8,0.011846,0.988154,0,1
0.537526,2205.719246,0.135489,21.416898,80.873667,26.000411,7.837969,0.662449,95.035023,1.500491,1.409285,26.283145,0.034753,0.014868,0.036667,7.734,0.037075,262.89,9.06,85.0,0.014219,0.985781,1,1
0.671920,2260.033468,0.399436,16.811583,57.937177,34.064512,7.556756,0.929042,75.481489,1.592825,2.078133,27.907248,0.009748,0.010521,0.054428,5.347,0.057043,175.77,8.99,116.2,0.014316,0.985684,0,1
0.446018,6377.441042,0.402556,13.995047,66.207116,20.001618,7.954441,0.633729,91.650701,1.425822,1.322159,23.902869,0.052252,0.102690,0.146419,14.087,0.167873,435.01,59.87,83.3,0.013755,0.986245,0,1
0.709606,2642.372513,0.125722,21.955656,80.951763,26.475325,8.392777,0.791615,96.181008,1.356078,1.920362,19.551582,0.012697,0.017702,0.070155,5.050,0.071551,195.49,12.89,101.1,0.016941,0.983059,0,1
0.407089,6011.702420,0.172376,18.057338,58.503608,44.971266,7.970716,0.921219,62.759731,1.271681,2.193804,39.198133,0.057529,0.106235,0.124833,21.187,0.144302,767.29,90.04,113.2,0.009364,0.990636,0,1
0.323251,6735.286151,0.362621,20.245270,65.144141,43.416523,8.222681,0.934804,81.842150,1.673915,1.866896,34.861189,0.043531,0.075207,0.091828,18.900,0.100528,749.31,64.68,117.3,0.013483,0.986517,0,1
0.372058,5554.784414,0.307592,22.656679,58.822382,24.509993,7.580943,0.914509,73.880291,1.720606,1.602856,26.575729,0.025495,0.039391,0.065317,12.723,0.069454,539.78,33.14,114.4,0.009516,0.990484,0,1
0.398202,6956.841160,0.126819,19.192576,53.781201,30.367040,8.373265,0.629669,106.803057,1.484613,1.944621,25.521485,0.096358,0.061879,0.115268,10.117,0.125592,330.83,35.85,84.5,0.014693,0.985307,1,1
0.250560,3338.032408,0.089275,11.418338,80.779660,24.225165,7.636131,0.707602,82.920587,1.305420,1.533263,24.910235,0.018787,0.022527,0.044808,12.858,0.046225,348.18,14.66,89.8,0.014314,0.985686,0,1
