generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.625121,5013.568716,0.117926,14.294615,54.539728,37.535328,8.093984,0.809743,73.276397,1.351008,1.500525,40.204684,0.048060,0.089627,0.184153,11.914,0.228179,385.72,66.77,101.5,0.014301,0.985699,0,1
0.257888,6521.450015,0.280352,15.682629,65.326636,42.032762,7.517683,0.852420,81.854600,1.375901,1.650114,31.363836,0.012338,0.014783,0.068120,6.059,0.072500,181.06,11.59,106.7,0.011915,0.988085,0,1
0.302129,7766.554783,0.417846,12.185052,66.870108,24.297024,7.410043,0.947338,80.697537,1.345164,1.343878,20.358657,0.039398,0.063469,0.092387,18.831,0.101040,636.97,55.32,118.4,0.011809,0.988191,0,1
0.602113,3357.022978,0.278473,10.593529,61.738776,27.915082,8.071086,0.860580,73.545851,1.451705,1.820622,26.554920,0.056760,0.098815,0.107502,24.958,0.121049,774.21,78.24,104.2,0.007055,0.992945,0,1
0.325629,4240.793026,0.274128,15.237290,74.027855,37.995292,7.360019,0.683917,52.660953,1.692468,1.592638,33.502429,0.027760,0.043433,0.070744,13.577,0.076709,410.96,27.33,85.9,0.011645,0.988355,0,1
0.376766,5993.597976,0.153845,13.004609,50.739650,37.389118,8.314312,0.927966,66.198754,1.639679,1.894706,30.820185,0.063922,0.119479,0.151040,21.429,0.205358,718.45,102.00,116.0,0.009445,0.990555,0,1
0.402978,7005.397398,0.319878,23.865371,75.177743,47.690187,7.772882,0.828932,44.148140,1.360434,1.627000,19.199318,0.027472,0.048371,0.111985,8.012,0.128451,350.43,36.89,103.8,0.009183,0.990817,0,1
0.500244,6318.350529,0.406583,15.391838,58.689612,23.591019,7.529034,0.743875,47.238214,1.664052,2.396118,26.083898,0.028505,0.047947,0.116537,9.408,0.133898,299.54,32.81,93.3,0.009237,0.990763,0,1
0.381570,3710.655991,0.306132,23.010497,52.296451,18.403575,8.408068,0.848267,101.899620,1.741074,1.470777,22.540813,0.026838,0.042529,0.060200,13.416,0.062580,586.53,33.19,109.7,0.013526,0.986474,0,1
0.337041,2522.557770,0.120849,17.929827,75.039044,43.284625,8.271766,0.874213,63.916738,1.659086,1.391720,25.506191,0.029880,0.039612,0.046135,20.069,0.048307,734.64,31.86,109.4,0.007058,0.992942,0,1
0.259930,3879.550209,0.360927,21.846539,54.166966,36.134556,7.831729,0.792858,42.428737,1.687481,1.578405,40.017104,0.010880,0.013276,0.042639,6.290,0.045476,241.61,9.68,99.4,0.013725,0.986275,0,1
0.318266,7592.578740,0.436454,16.840512,76.514709,40.187420,7.507391,0.934137,67.255151,1.422624,2.007915,32.028869,0.035760,0.058946,0.094537,15.737,0.104704,570.06,50.66,116.5,0.011849,0.988151,0,1
0.430539,6173.747165,0.143399,17.253249,65.922094,27.857604,8.088980,0.691967,103.447803,1.504916,2.308220,20.798134,0.070009,0.039045,0.092549,9.877,0.095138,285.72,24.86,88.9,0.014958,0.985042,1,1
0.551954,2201.071202,0.092107,13.609311,67.765182,40.244256,7.929904,0.801761,82.407812,1.389808,1.493792,37.752101,0.034407,0.051554,0.071533,18.973,0.077053,565.54,38.03,100.5,0.012024,0.987976,0,1
0.480411,3618.587907,0.325116,22.225886,78.820645,22.997556,8.419161,0.715395,94.331856,1.438017,2.029433,18.695959,0.014115,0.020856,0.065573,5.748,0.068246,222.70,13.73,90.6,0.011677,0.988323,0,1
0.340325,3645.339303,0.418996,15.292950,63.487302,46.886747,8.295719,0.893729,60.707412,1.402401,1.813978,33.385382,0.038263,0.052298,0.056198,25.000,0.063193,814.02,43.00,110.5,0.009337,0.990663,0,1
0.651980,4588.884343,0.422515,15.618721,65.369177,41.062160,8.232391,0.811251,70.315124,1.453685,1.718772,31.278441,0.057774,0.108740,0.126833,20.189,0.145080,680.72,81.16,101.6,0.009377,0.990623,0,1
0.622545,5471.320953,0.141049,12.403725,78.292649,43.005565,7.989957,0.665629,108.213417,1.525813,1.844767,33.854200,0.026224,0.038299,0.159081,9.042,0.145420,156.84,23.45,83.7,0.016872,0.983128,0,1
0.374246,5560.546895,0.432989,22.163215,63.671347,41.949614,8.398167,0.929843,68.390520,1.297107,1.633081,33.317217,0.030904,0.049615,0.073287,14.833,0.078843,616.11,42.44,116.3,0.009462,0.990538,0,1
0.247384,7794.294362,0.385432,23.545514,67.751915,18.172715,7.985198,0.807156,76.984560,1.579987,2.224564,35.524703,0.018119,0.026628,0.055377,9.188,0.058334,379.86,19.77,101.1,0.009530,0.990470,0,1
0.655462,2429.322206,0.382932,22.262400,62.042675,25.721862,7.708443,0.661952,95.706590,1.429450,2.173126,18.340170,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,86.2,0.014244,0.985756,0,1
0.427394,4773.391932,0.114595,17.369047,50.038022,31.874308,7.748905,0.856328,82.731113,1.545142,2.053397,26.186797,0.033908,0.052774,0.078847,17.218,0.084064,560.96,41.58,107.2,0.013638,0.986362,0,1
0.485582,2777.448351,0.290046,22.583191,66.748494,28.940255,7.751734,0.945572,49.533589,1.457933,2.200298,18.383319,0.007875,0.008730,0.045299,4.110,0.048134,178.35,7.59,118.2,0.013907,0.986093,0,1
0.587687,3988.811833,0.100657,14.627575,53.645826,28.432553,8.401833,0.700078,86.098191,1.667986,1.707252,22.905346,0.031914,0.055709,0.133491,9.371,0.151348,285.94,35.88,89.3,0.014302,0.985698,0,1
0.199135,3579.946019,0.128563,21.211769,57.116565,36.377292,7.885325,0.767897,102.903298,1.644717,2.135160,32.202348,0.008888,0.001831,0.017931,2.456,0.017777,76.75,1.29,99.3,0.016799,0.983201,1,1
0.674366,4008.118785,0.160460,15.026505,69.524146,47.549119,7.539912,0.755098,54.236830,1.738584,1.655938,23.196657,0.022258,0.033968,0.144768,5.603,0.171009,173.41,23.60,94.7,0.014005,0.985995,0,1
0.575656,6564.629920,0.182591,13.468946,79.040458,45.526987,7.732612,0.863156,91.368498,1.676325,1.892518,27.553684,0.053331,0.098062,0.164763,16.733,0.191614,502.80,77.87,108.0,0.014701,0.985299,0,1
0.632706,4808.456421,0.293771,10.066179,79.413023,29.796885,7.998676,0.949734,92.947057,1.674202,2.094642,21.771397,0.049697,0.086833,0.145041,18.530,0.162403,556.49,75.87,118.7,0.014899,0.985101,0,1
