generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.443393,7058.578481,0.293094,10.000000,79.463184,22.343708,0.563856,1.021805,0.122243,8.800000,0.946860,42.000000,1.680398,1.663208,32.574801,-0.005564,0.227351,0.059777,25.000,0.234550,471.74,182.75,281.5,0.000000,1.000000,1,1,0.950000,3.515561,0.000000
2.384920,7145.773284,0.310061,10.000000,77.513609,22.034510,0.578476,1.000000,0.203876,8.800000,0.950000,43.041191,1.689921,1.703275,32.320799,-0.005558,0.227476,0.066892,25.000,0.222128,357.26,184.16,306.5,0.000268,0.999732,1,1,0.950000,3.836746,0.000000
2.389243,7187.577152,0.307268,10.127191,79.117694,23.084124,0.556921,1.030986,0.102846,8.800000,0.927946,45.883877,1.676038,1.736753,32.076224,-0.013765,0.071139,0.039935,25.000,0.046804,269.79,54.71,521.6,0.000296,0.999704,1,1,0.950000,4.300792,0.000000
2.574123,7099.755315,0.282580,10.383023,77.975890,22.332851,0.557393,1.028429,0.091142,8.800000,0.948481,42.000000,1.697462,1.704657,33.252077,-0.006218,0.214894,0.056291,25.000,0.219884,473.49,173.38,282.5,0.000000,1.000000,1,1,0.950000,3.606778,0.000000
2.490646,6896.649649,0.254171,10.000000,79.677197,21.240432,0.567182,1.010050,0.171658,8.759036,0.950000,42.000000,1.658053,1.627335,32.199031,-0.007008,0.199853,0.052300,25.000,0.206777,475.13,161.80,283.3,0.000000,1.000000,1,1,0.950000,3.957323,0.000000
2.286243,7106.650534,0.318793,10.000000,81.593837,21.353362,0.577638,1.025215,0.124741,8.800000,0.949420,42.000000,1.686152,1.670262,32.484703,-0.007233,0.195567,0.051108,25.000,0.196650,474.51,158.12,282.9,0.000000,1.000000,1,1,0.950000,3.364303,0.000000
2.469977,6919.095640,0.289501,10.822705,79.311881,22.325523,0.550000,1.012210,0.125985,8.684091,0.950000,46.291288,1.672633,1.652951,32.107669,-0.006880,0.202289,0.047363,25.000,0.145101,450.13,163.77,378.4,0.000606,0.999394,1,1,0.950000,3.583681,0.000000
2.801403,7025.526193,0.283556,11.102659,78.657023,26.029341,0.554195,1.076320,0.155901,8.771630,0.946623,42.000000,1.671199,1.702315,31.059129,-0.012403,0.097085,0.050992,25.000,0.066805,471.49,78.00,281.2,0.000004,0.999996,1,1,0.950000,3.197322,0.000000
2.589954,7231.267686,0.317835,10.000000,81.204780,21.920450,0.550000,1.026641,0.110302,8.800000,0.937699,42.000000,1.737399,1.617649,33.773648,-0.007063,0.198791,0.051854,25.000,0.206288,461.85,156.44,275.5,0.000000,1.000000,1,1,0.950000,3.433226,0.000000
2.378536,6743.071937,0.300400,10.000000,78.156919,23.300893,0.553169,1.034142,0.105300,8.800000,0.950000,42.000000,1.689116,1.528180,33.318671,-0.001326,0.308084,0.064637,25.000,0.287737,475.13,249.43,379.9,0.000319,0.999681,1,1,0.950000,3.274766,0.000000
2.747945,7208.090993,0.303317,11.135632,81.225043,19.770408,0.574964,1.044466,0.299993,8.755656,0.949990,42.000000,1.664590,1.671862,31.736468,-0.009094,0.160110,0.040784,25.000,0.140563,475.12,129.62,283.3,0.000000,1.000000,1,1,0.950000,3.943383,0.000000
2.353697,7573.189331,0.281375,10.000000,80.352686,23.063906,0.582662,1.009468,0.034737,8.756876,0.946645,45.456301,1.722301,1.572616,31.440569,-0.007651,0.187599,0.046976,25.000,0.133817,471.51,150.72,354.6,0.000666,0.999334,1,1,0.950000,3.782015,0.000000
2.558755,7470.014085,0.293870,10.391611,73.453449,20.247389,0.585560,1.043654,0.029098,8.776239,0.950000,43.047991,1.650185,1.660496,30.237771,-0.017500,0.000000,0.000000,25.000,0.000000,276.18,0.00,358.4,0.000220,0.999780,1,1,0.950000,0.000000,0.000000
2.220769,7229.922717,0.298336,11.142629,79.687657,18.000000,0.565460,1.051826,0.183162,8.573941,0.942140,46.740136,1.690984,1.613201,33.434343,-0.017500,0.000000,0.000000,25.000,0.000000,122.80,0.00,278.4,0.000000,1.000000,1,1,0.950000,0.000000,0.000000
2.214032,7146.621050,0.318199,10.000000,81.765086,23.154799,0.612994,1.024963,0.137318,8.800000,0.950000,43.076638,1.676705,1.675726,30.977671,-0.005808,0.222704,0.063192,25.000,0.187813,425.12,180.30,309.3,0.000216,0.999784,1,1,0.950000,3.469799,0.000000
2.366689,7592.584779,0.299528,10.000000,80.498461,21.123236,0.592976,1.024368,0.214128,8.792980,0.902437,42.000000,1.670655,1.740854,30.222429,-0.005947,0.220048,0.057313,25.000,0.188853,423.77,158.89,253.1,0.000000,1.000000,1,1,0.950000,3.392341,0.000000
2.554057,7757.981359,0.264503,10.000000,78.609869,21.343529,0.550000,1.066216,0.179188,8.800000,0.950000,46.566226,1.715317,1.494059,34.544555,-0.010250,0.138100,0.075907,25.000,0.075559,399.18,111.81,514.6,0.000536,0.999464,1,1,0.950000,2.200660,0.000000
2.353616,7262.459043,0.248445,10.078068,79.652905,20.665532,0.588967,1.000000,0.214155,8.800000,0.950000,42.000000,1.705271,1.689755,34.060900,-0.006874,0.202406,0.052969,25.000,0.190880,475.13,163.87,283.3,0.000000,1.000000,1,1,0.950000,3.768012,0.000000
2.737464,6205.246916,0.252521,10.000000,80.348965,25.332899,0.584594,1.046076,0.096379,8.728557,0.923171,53.880512,1.608913,1.546543,31.414333,-0.010038,0.142142,0.147857,25.000,0.491308,234.82,108.06,103.5,0.000000,1.000000,1,1,0.950000,3.995642,0.000000
1.784870,7359.725052,0.310237,10.243337,74.716871,23.153068,0.578499,1.004077,0.313826,8.758626,0.950000,42.000000,1.668658,1.867279,36.776288,-0.011857,0.107494,0.064188,25.000,0.076956,475.13,87.03,283.3,0.000072,0.999928,1,1,0.950000,2.716069,0.000000
