generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
0.402379,6952.104558,0.200000,22.000000,83.068371,37.758350,0.720000,1.180000,0.000000,7.500000,0.820000,35.000000,1.391200,1.800000,38.586646,4.900000,11.800000,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.5,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.218088,7405.456910,0.209686,21.581254,83.199824,38.464529,0.722016,1.181602,0.039862,7.614031,0.849463,34.850860,1.378914,1.826844,37.823985,4.827898,11.985554,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.6,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.552745,6711.108379,0.192142,22.355370,83.729603,39.116265,0.717514,1.146429,0.000000,7.609862,0.824136,31.754502,1.396497,1.811080,40.292416,4.900353,11.834305,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.8,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.253125,5861.219478,0.193860,22.095245,81.778161,33.075641,0.709617,1.166799,0.041016,7.359256,0.799780,34.017927,1.393133,1.841761,39.574244,4.773013,11.686709,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.2,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.670274,7058.296100,0.193934,22.344484,85.133257,42.660332,0.723125,1.166391,0.000000,7.607016,0.819396,35.224970,1.398906,1.761015,42.421237,4.876173,11.776538,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.4,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.352059,7037.351134,0.191221,21.685389,85.209207,41.569381,0.734524,1.158502,0.000000,7.657990,0.819692,35.169313,1.387385,1.857485,37.495363,4.859385,11.909736,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.9,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.123501,6640.208266,0.260079,21.974553,84.338948,31.889491,0.716865,1.161665,0.000000,7.407069,0.821217,34.539619,1.407333,1.712852,36.924867,4.950000,11.836346,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.7,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.804194,6386.135636,0.238554,22.713956,75.618113,28.974699,0.783298,1.212665,0.010479,7.347748,0.761525,34.046016,1.393066,1.898576,37.149917,4.879196,11.774743,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,36.7,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.701559,8659.296146,0.273793,21.999451,87.279742,32.839152,0.696127,1.168801,0.080500,7.083857,0.821527,39.750670,1.420408,1.889035,36.300893,4.946240,11.632965,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.0,0.000006,0.999994,0,1,0.000000,0.000000,0.000000
0.871447,6525.927816,0.183093,20.521913,84.697740,45.150120,0.719693,1.176978,0.000000,7.718148,0.823997,36.252732,1.393078,1.810426,41.459176,4.950000,11.543319,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.8,0.000005,0.999995,0,1,0.000000,0.000000,0.000000
0.398618,6743.984202,0.219572,23.820186,79.126321,34.519478,0.673136,1.162438,0.120777,7.384226,0.862270,35.183730,1.386606,1.808969,36.686401,4.950000,11.807192,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.5,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
-0.128258,6112.795990,0.220904,21.611269,70.683632,42.805112,0.768375,1.143549,0.000868,7.652255,0.834829,36.542919,1.350183,1.863934,37.279670,4.824794,11.885308,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.5,0.000002,0.999998,0,1,0.000000,0.000000,0.000000
0.691245,7923.595823,0.171270,22.544188,74.472122,41.893519,0.692373,1.156108,0.076767,7.549320,0.795508,36.627217,1.440855,1.709790,39.287348,4.919344,11.846516,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.5,0.000003,0.999997,0,1,0.000000,0.000000,0.000000
0.470232,8581.447166,0.243759,22.337943,91.221189,35.180516,0.805700,1.182160,0.000000,7.655275,0.777136,31.135570,1.363616,1.924949,42.177354,4.769633,11.773630,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,37.5,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.403165,5864.984012,0.174698,20.006671,71.881377,32.273700,0.779496,1.203918,0.000000,7.589176,0.771233,36.252613,1.385937,1.760792,40.802531,4.875890,12.328792,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.0,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.023727,6670.130833,0.217895,21.843569,96.852609,39.111884,0.635853,1.151775,0.000000,7.515088,0.804100,37.152967,1.427016,1.726797,39.369528,4.905466,12.205517,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.2,0.000002,0.999998,0,1,0.000000,0.000000,0.000000
0.467950,6461.038498,0.179013,23.025465,70.683632,31.628125,0.674156,1.120955,0.086529,7.034095,0.885946,30.683768,1.359758,2.000000,31.431292,4.802852,11.774711,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,42.5,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
-0.128258,6403.984846,0.211287,23.523411,82.139869,42.687567,0.742480,1.131903,0.143960,7.662773,0.816545,34.249527,1.393364,1.814050,36.722363,4.706411,11.989108,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.0,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.429000,7666.043714,0.267944,20.074774,86.837009,36.829829,0.731807,1.152512,0.176070,7.155613,0.806060,35.543097,1.400806,1.811075,29.827674,4.616324,11.258742,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,37.0,0.000003,0.999997,0,1,0.000000,0.000000,0.000000
0.105345,9998.309199,0.176757,25.469732,92.658204,32.378657,0.584044,1.074407,0.000000,7.516006,0.900000,33.132253,1.372799,1.881402,41.591459,4.915422,12.210966,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,44.8,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.314338,7215.016427,0.147449,24.233886,70.683632,44.947641,0.670123,1.240887,0.000000,7.961630,0.900000,31.834415,1.498889,1.690062,36.376321,4.649971,11.761405,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,43.1,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
0.544776,7240.646019,0.334131,24.890499,81.773309,39.295910,0.649489,1.224774,0.000000,7.000000,0.735615,43.831958,1.420528,1.804933,28.304834,4.922508,11.306645,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.7,0.009704,0.990296,0,1,0.000000,0.000000,0.000000
0.859593,6933.355562,0.199799,19.080910,92.582764,37.473723,0.759200,1.142811,0.000000,8.339626,0.809362,34.598552,1.403266,1.853230,45.425961,4.653458,11.958669,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.6,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.783834,7820.208112,0.100000,24.369020,94.123127,46.074536,0.643222,1.244080,0.000000,7.297993,0.804810,30.927655,1.396290,1.779765,35.253126,4.950000,11.712540,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.5,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.906351,5642.858668,0.175340,23.373106,76.459169,29.591395,0.575375,1.269589,0.215488,7.669249,0.876520,42.449204,1.468816,1.749175,46.564478,4.950000,11.767274,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,42.2,0.007273,0.992727,0,1,0.000000,0.000000,0.000000
0.165522,3312.845562,0.229928,23.968021,106.191586,73.661892,0.687995,1.033964,0.267772,8.340535,0.797178,31.625337,1.407741,1.683175,28.558720,4.210451,12.337160,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.3,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
-0.054297,6509.958226,0.445375,20.535468,93.957322,60.745304,0.713774,1.247670,0.271139,8.046530,0.786289,34.483332,1.434161,1.469554,45.809798,4.228041,11.845265,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.1,0.000003,0.999997,0,1,0.000000,0.000000,0.000000
0.163967,6586.604461,0.478738,25.611286,74.090527,40.417098,0.629088,1.107797,0.176019,8.644577,0.820456,47.301878,1.537842,1.521557,50.911684,3.688367,12.463807,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,43.7,0.007363,0.992637,0,1,0.000000,0.000000,0.000000
2.333975,11092.186176,0.412995,16.349088,97.834860,67.229636,0.754348,1.099795,0.756867,7.501892,0.853464,32.118158,1.325888,1.499615,38.485223,4.575938,11.326793,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.3,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
2.525465,6737.412298,0.423237,21.561214,128.209309,58.215298,0.729891,1.193256,0.199700,8.669886,0.704036,31.676278,1.528196,1.607850,29.277423,4.290723,12.003023,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.8,0.000005,0.999995,0,1,0.000000,0.000000,0.000000
1.846251,11935.341676,0.416800,12.770503,102.479378,34.684744,0.746585,1.011553,0.873218,7.589642,0.740513,28.974419,1.544822,1.778739,25.473809,4.872941,11.349538,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.4,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
1.793160,11767.736527,0.362112,16.601927,111.890595,64.074910,0.807126,1.286596,0.612480,8.676519,0.780222,37.485744,1.497603,1.713067,52.550811,3.744564,12.260986,0.276985,0.159478,0.313289,7.093,0.444146,205.97,114.47,39.2,0.000032,0.999968,1,1,0.950000,0.017663,0.029622
1.136252,3259.087335,0.205124,12.650572,75.832110,38.451175,0.620152,1.182887,0.290586,7.656447,0.888660,33.819095,1.528882,1.637794,29.514286,4.448691,11.805988,0.140443,0.100045,0.163642,18.658,0.328868,270.28,81.79,42.7,0.000004,0.999996,1,1,0.950000,0.295233,0.036284
1.268415,5430.562465,0.415339,14.559790,81.997680,46.764063,0.795887,1.037725,0.141691,8.107225,0.768624,30.918958,1.473563,1.980858,35.431092,4.731825,11.412876,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,35.9,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
1.378256,3707.944351,0.230222,24.391064,90.934811,44.847155,0.582909,1.216232,0.088441,7.574061,0.798610,37.523290,1.358143,1.470828,27.030095,4.570679,11.506245,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,37.5,0.000007,0.999993,0,1,0.000000,0.000000,0.000000
1.823796,4906.363412,0.419654,19.506234,88.368108,48.333632,0.550173,1.220199,0.910542,8.707635,0.700298,45.956970,1.487594,1.838297,46.548299,4.885743,11.093720,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.2,0.012095,0.987905,0,1,0.000000,0.000000,0.000000
1.250695,7788.109699,0.220983,25.211079,113.520619,64.006551,0.506516,1.079466,0.190294,7.947530,0.778922,43.150139,1.511734,1.676238,54.535750,3.815475,10.930190,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,35.6,0.012129,0.987871,0,1,0.000000,0.000000,0.000000
1.448441,6881.375137,0.459135,18.079569,79.640457,53.971076,0.789180,1.073763,0.573577,8.060234,0.611915,34.537131,1.342005,1.371414,59.649824,4.154306,11.672594,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,29.5,0.000008,0.999992,0,1,0.000000,0.000000,0.000000
1.059755,8692.949072,0.104480,25.894830,86.018228,57.515376,0.733298,1.026734,0.615608,7.092281,0.589102,47.665002,1.469048,1.488710,45.741085,4.207910,12.638779,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,33.6,0.009691,0.990309,0,1,0.000000,0.000000,0.000000
0.807031,9314.424990,0.472765,12.759958,81.128499,66.895876,0.732390,1.191485,0.540451,7.113279,0.656255,45.282964,1.485658,1.548044,59.136646,4.795140,12.078412,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,32.7,0.009691,0.990309,0,1,0.000000,0.000000,0.000000
1.532897,11154.164951,0.424500,12.149472,120.128113,49.763992,0.651365,1.028865,0.571243,7.808422,0.674520,27.730354,1.372926,1.947283,31.075418,3.505851,11.624910,0.324067,0.198687,0.347475,11.052,0.522803,340.10,123.30,32.3,0.000001,0.999999,1,1,0.950000,0.000901,0.033454
0.441156,9079.021611,0.103531,18.009577,86.168665,37.505269,0.667670,1.199455,0.991862,7.837742,0.728895,49.554959,1.545738,1.507358,33.890578,4.458469,12.390556,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.6,0.009709,0.990291,0,1,0.000000,0.000000,0.000000
0.630042,9782.545836,0.196978,23.273852,104.244071,67.404261,0.492184,1.232611,0.449433,7.995255,0.785625,35.035001,1.489884,1.773847,56.432822,4.259256,12.460934,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.2,0.000001,0.999999,0,1,0.000000,0.000000,0.000000
1.193267,12457.258467,0.482460,19.824274,79.927873,69.256749,0.769546,1.014476,0.380634,7.740541,0.725224,49.389453,1.557054,1.674573,47.824973,4.697942,11.508644,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.7,0.014590,0.985410,0,1,0.000000,0.000000,0.000000
-0.041098,11272.209727,0.183693,12.409768,72.686983,53.655265,0.526056,1.022797,0.158079,8.026556,0.653901,27.497382,1.526193,1.746716,43.625487,3.797690,11.421405,-0.081261,0.000000,0.000000,25.876,0.000000,345.08,0.00,30.8,0.000002,0.999998,1,1,0.950000,0.019608,0.033391
1.621839,8636.017236,0.400124,12.292325,108.901549,65.193047,0.789568,1.299870,0.098807,8.099669,0.687932,29.973929,1.429024,1.974498,59.366321,4.501718,11.171658,0.309452,0.168538,0.509315,4.612,1.014459,227.39,106.67,31.5,0.000003,0.999997,1,1,0.950000,0.018318,0.022370
2.051348,6827.113523,0.393796,21.008913,104.861725,32.118036,0.801077,1.188246,0.739908,8.764468,0.841928,38.364832,1.403097,1.805266,35.636819,4.091103,11.199949,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.4,0.000107,0.999893,0,1,0.000000,0.000000,0.000000
2.262675,6131.288324,0.382154,17.328485,101.837678,64.175942,0.569922,1.110590,0.979016,7.109365,0.654436,43.592804,1.393008,1.897986,30.499352,3.823045,11.197551,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,32.5,0.012130,0.987870,0,1,0.000000,0.000000,0.000000
1.984711,11552.151199,0.315963,20.565042,106.212103,61.584806,0.486236,1.178438,0.679762,7.059959,0.771022,46.490585,1.306690,1.766370,34.055615,4.111814,12.070650,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.5,0.012134,0.987866,0,1,0.000000,0.000000,0.000000
1.419765,3736.830375,0.283782,16.927731,79.425463,50.007970,0.542032,1.290448,0.922765,7.734207,0.833434,44.110280,1.326163,1.820380,28.714099,3.641752,11.795626,0.039830,0.027169,0.068491,12.631,0.078498,282.69,20.83,43.1,0.009650,0.990350,1,1,0.950000,0.519410,0.034523
1.008803,8093.102095,0.441760,20.011546,86.449779,64.368705,0.613263,1.071460,0.629798,8.642997,0.712946,50.542690,1.496087,1.572895,59.261198,3.805625,12.561073,0.115007,0.063922,0.138751,9.261,0.151178,328.08,41.93,69.3,0.009446,0.990554,1,1,0.950000,0.217276,0.019220
