generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.493781,4568.667872,0.080000,10.000000,51.967884,31.107536,0.550000,1.438643,0.225082,8.800000,0.950000,60.900000,1.614351,2.128656,30.226686,4.600000,13.500000,0.512660,0.315417,0.812811,17.334,3.561946,431.84,275.67,135.4,0.008955,0.991045,1,1,0.950000,0.001320,0.010910
2.493781,4536.919123,0.080000,10.491389,51.818464,29.463572,0.556646,1.432628,0.214234,8.800000,0.950000,63.547096,1.630767,2.128656,29.502891,4.600000,13.500000,0.044670,0.000000,0.000000,17.334,0.000000,366.19,0.00,179.3,0.011752,0.988248,1,1,0.950000,0.006651,0.313212
2.493781,4568.667872,0.104255,10.029160,51.843368,31.107536,0.550000,1.431617,0.249600,8.800000,0.946030,61.756765,1.620556,2.128656,29.135366,4.600000,13.500000,0.516764,0.320054,0.802279,17.334,3.651563,384.66,278.56,139.5,0.006575,0.993425,1,1,0.950000,0.000121,0.008631
2.493781,4290.569970,0.080000,10.000000,50.895372,31.107536,0.563285,1.411214,0.267450,8.727340,0.948577,60.231378,1.617211,2.128656,30.226686,4.600000,13.500000,0.510697,0.314267,0.807595,17.334,5.778207,249.14,274.26,383.0,0.012940,0.987060,1,1,0.950000,0.001979,0.010179
2.493781,4568.667872,0.088852,10.000000,51.127765,30.591552,0.559987,1.433016,0.341870,8.740601,0.931869,62.648277,1.649897,2.128656,30.226686,4.600000,13.500000,0.500673,0.303321,0.825983,17.334,3.694977,414.14,260.04,135.6,0.008988,0.991012,1,1,0.950000,0.000233,0.013601
2.493781,4551.402443,0.080000,10.000000,51.967884,29.522503,0.550671,1.444341,0.209302,8.800000,0.950000,66.181204,1.629850,2.128656,29.675942,4.600000,13.500000,0.521464,0.322084,0.824775,17.334,3.777438,434.62,281.50,139.9,0.009076,0.990924,1,1,0.950000,0.000599,0.010638
2.493781,4568.667872,0.080000,10.000000,51.967884,29.836657,0.550000,1.372357,0.138484,8.734143,0.950000,65.244316,1.613612,2.128656,30.226686,4.600000,13.500000,0.512673,0.314912,0.814831,17.334,3.649503,432.35,275.23,140.5,0.009009,0.990991,1,1,0.950000,0.000024,0.010350
2.493781,4568.667872,0.088101,10.000000,51.967884,31.107536,0.589262,1.437567,0.381330,8.758370,0.950000,61.319033,1.593700,2.128656,29.989791,4.600000,13.500000,0.511260,0.314979,0.804577,17.334,3.348409,437.54,275.29,142.0,0.008946,0.991054,1,1,0.950000,0.001291,0.010360
2.493781,4568.667872,0.100391,10.000000,51.967884,31.107536,0.550000,1.416058,0.224897,8.800000,0.922145,59.342790,1.668822,2.128656,29.655350,4.600000,13.500000,0.492757,0.296309,0.826947,17.334,3.682094,405.62,251.38,134.9,0.008919,0.991081,1,1,0.950000,0.000142,0.016098
2.493781,4203.984797,0.086510,10.000000,51.967884,31.107536,0.623070,1.448754,0.334337,8.648821,0.946776,62.076250,1.684179,2.128656,30.226686,4.600000,13.500000,0.513410,0.318754,0.790064,17.334,3.285833,434.41,277.65,143.2,0.006519,0.993481,1,1,0.950000,0.001300,0.011329
2.493781,4568.667872,0.101087,10.058320,50.990431,28.914907,0.556254,1.431742,0.386703,8.729121,0.950000,55.188835,1.598532,2.128656,30.226686,4.600000,13.500000,0.567404,0.380356,0.735536,17.334,3.352490,490.70,332.43,125.0,0.009752,0.990248,1,1,0.950000,0.031321,0.011735
2.493781,4552.454799,0.080000,10.640991,51.967884,31.107536,0.550000,1.450000,0.233872,8.800000,0.950000,63.672189,1.628676,2.128656,30.226686,4.600000,13.500000,0.472200,0.395976,0.633846,17.334,6.793107,274.93,346.08,383.6,0.010994,0.989006,1,1,0.000000,0.141100,0.030797
2.493781,4568.667872,0.134862,10.166197,51.967884,31.107536,0.550000,1.360948,0.255024,8.800000,0.929936,64.863443,1.644729,2.128656,30.226686,4.600000,13.500000,0.545421,0.347035,0.801064,17.334,3.334104,446.75,296.90,145.1,0.000151,0.999849,1,1,0.950000,0.000021,0.007285
2.493781,4024.038406,0.096759,10.000000,50.222271,31.107536,0.569524,1.412654,0.265117,8.800000,0.926482,62.633050,1.614488,2.128656,26.575362,4.600000,13.500000,0.546604,0.348730,0.796374,17.334,2.553749,424.85,297.24,140.6,0.009067,0.990933,1,1,0.950000,0.000224,0.006682
