generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.520953,5402.292653,0.435483,19.042504,63.571645,18.025971,0.918679,1.013543,0.368494,8.039849,0.797610,50.715575,1.333065,2.181047,35.606466,0.118309,0.265499,0.415814,9.631,0.726446,498.44,194.82,100.0,0.009286,0.990714,0,1,0.000000,0.000000,0.000000
1.469228,6408.592811,0.271767,20.902715,52.617557,33.493563,0.813532,1.078761,0.244867,8.371468,0.701718,70.259684,1.564700,2.147595,20.317446,0.057414,0.104320,0.385761,4.429,0.622595,185.73,67.35,88.1,0.011382,0.988618,0,1,0.000000,0.000000,0.000000
2.667498,6088.506725,0.304065,16.399475,80.433337,46.563229,0.766435,1.287849,0.866341,8.422027,0.629231,86.509923,1.744618,1.651961,35.190316,0.079454,0.166798,0.322009,10.281,0.347309,319.00,96.56,84.3,0.015256,0.984744,0,1,0.000000,0.000000,0.000000
2.994325,5325.607270,0.300054,15.472942,75.207837,26.078500,0.944985,1.138887,0.465112,8.711150,0.915708,42.181177,1.624065,2.078144,24.689042,0.105590,0.227000,0.490691,7.715,1.016554,414.60,191.24,114.5,0.010963,0.989037,0,1,0.000000,0.000000,0.000000
1.978228,7467.401454,0.309384,11.403467,57.392222,23.763348,0.592687,1.098661,0.771446,8.461444,0.936240,91.176552,1.522369,1.795242,23.852964,0.131076,0.282144,0.347179,22.292,0.616594,744.67,243.02,117.1,0.013760,0.986240,0,1,0.000000,0.000000,0.000000
2.360138,6240.770404,0.430000,14.988404,63.813438,30.076651,0.634833,1.373400,0.824480,8.649134,0.684125,44.037667,1.451773,1.477202,40.708527,0.113501,0.258217,0.230292,17.679,0.307209,750.76,162.52,86.0,0.011526,0.988474,0,1,0.000000,0.000000,0.000000
1.220969,4502.327639,0.404995,17.446012,55.437762,20.028675,0.796446,1.075861,0.765974,7.521078,0.783232,80.781460,1.349765,2.179897,26.233243,0.015046,0.014721,0.036436,11.931,0.037279,309.71,10.61,98.2,0.013097,0.986903,0,1,0.000000,0.000000,0.000000
1.925842,5253.347391,0.349142,15.943805,61.290449,26.780890,0.614616,1.150821,0.230490,7.936016,0.694063,101.419780,1.714969,1.321484,33.646652,0.337090,0.256759,0.440753,12.535,0.501819,395.72,163.95,94.3,0.014032,0.985968,1,1,0.000000,0.000000,0.000000
2.620013,6535.732337,0.369886,19.651419,76.468747,35.743113,0.940426,1.039886,0.620282,8.433780,0.851651,105.332975,1.439794,1.333292,19.540632,0.087381,0.187615,0.256609,13.986,0.338657,609.42,147.00,115.4,0.013185,0.986815,0,1,0.000000,0.000000,0.000000
2.116663,3804.160987,0.082735,21.438177,55.863293,20.973625,0.893084,1.357516,0.964596,7.412688,0.843339,93.603170,1.606378,1.922711,22.143766,0.014228,0.003412,0.025194,3.962,0.021912,111.80,2.65,107.4,0.013158,0.986842,1,1,0.000000,0.000000,0.000000
0.556057,4340.817407,0.183635,12.789554,75.320924,33.753676,0.698771,1.342079,0.512226,8.232106,0.926655,55.594272,1.340681,1.683789,33.883794,0.044724,0.071469,0.086144,22.222,0.124447,752.44,60.93,115.9,0.011213,0.988787,0,1,0.000000,0.000000,0.000000
1.948556,2903.693419,0.277617,17.039120,64.796773,22.904374,0.820940,1.124400,0.890139,8.727163,0.730133,91.880220,1.468238,2.334289,31.885501,0.047140,0.088997,0.160409,12.823,0.180285,396.47,59.78,92.6,0.013718,0.986282,0,1,0.000000,0.000000,0.000000
0.392428,2236.482246,0.089935,13.687570,58.376619,35.142744,0.632167,1.162730,0.454320,7.529232,0.834321,61.179097,1.581004,2.126565,36.851307,0.030054,0.034902,0.047367,22.222,0.068327,601.68,26.79,104.2,0.011249,0.988751,0,1,0.000000,0.000000,0.000000
2.242012,4041.661444,0.106219,17.394993,66.423863,38.192373,0.601026,1.397532,0.951669,8.267020,0.812458,88.550678,1.515738,1.976901,36.023374,0.062892,0.120359,0.262199,14.106,0.253605,365.01,89.96,101.8,0.015864,0.984136,0,1,0.000000,0.000000,0.000000
2.948144,7575.351025,0.254799,19.280353,68.900824,21.819063,0.845355,1.373964,0.646213,7.730087,0.635145,80.283067,1.574533,2.353646,37.306664,0.013930,0.004195,0.078549,1.315,0.020540,33.20,2.45,79.9,0.013016,0.986984,1,1,0.000000,0.000000,0.000000
2.203459,2611.681127,0.363247,11.280776,81.085687,24.630706,0.922398,1.269344,0.388403,8.768481,0.703621,71.920944,1.280183,2.392920,25.914717,0.081740,0.169072,0.272511,13.997,0.366900,427.25,109.45,88.4,0.009394,0.990606,0,1,0.000000,0.000000,0.000000
0.855562,6744.538334,0.201341,21.802292,58.045424,24.288488,0.581722,1.432404,0.020403,7.925295,0.806017,104.466764,1.264553,1.826698,24.354792,0.135476,0.089044,0.176269,13.432,0.136689,398.50,66.03,107.5,0.014051,0.985949,1,1,0.000000,0.000000,0.000000
2.026916,3564.055093,0.432580,12.484799,70.078038,42.170602,0.826561,1.317915,0.990673,8.581392,0.766039,62.989763,1.532620,1.501406,34.568294,0.077824,0.153830,0.186525,22.126,0.233735,618.32,108.41,96.1,0.011208,0.988792,0,1,0.000000,0.000000,0.000000
0.636949,5678.374398,0.355568,20.696184,62.281955,32.012746,0.646682,1.018877,0.912607,8.668350,0.711841,72.860969,1.513125,1.784997,32.215548,0.052302,0.096265,0.115297,19.694,0.113984,581.69,63.04,89.4,0.009068,0.990932,0,1,0.000000,0.000000,0.000000
0.463350,5969.077367,0.417211,16.825375,73.597291,18.457464,0.935194,1.325036,0.064923,8.753432,0.838188,60.787106,1.384318,1.322191,28.678999,0.052608,0.103198,0.093012,17.781,0.102724,910.19,79.58,105.0,0.009778,0.990222,0,1,0.000000,0.000000,0.000000
0.799366,3133.682625,0.380559,20.990385,73.844379,34.036900,0.862051,1.337322,0.162773,8.326391,0.856038,98.663283,1.603482,1.414903,19.025412,0.022234,0.035750,0.103846,7.609,0.106228,288.43,28.16,112.8,0.011329,0.988671,0,1,0.000000,0.000000,0.000000
1.541774,6380.252204,0.439354,20.467443,68.049562,28.395808,0.726877,1.247185,0.101079,8.072223,0.801407,97.113336,1.490581,2.373218,33.513030,0.038634,0.065540,0.296958,4.874,0.283501,173.11,48.32,102.8,0.013480,0.986520,0,1,0.000000,0.000000,0.000000
1.026159,6321.422289,0.340409,21.155750,76.702029,45.398505,0.915188,1.052759,0.294991,7.432311,0.933183,106.996190,1.426227,1.556008,24.189588,0.013223,0.014083,0.149555,2.444,0.171085,86.01,12.09,121.3,0.015325,0.984675,0,1,0.000000,0.000000,0.000000
2.311789,3851.125829,0.112428,16.861438,60.798761,26.154387,0.822226,1.279187,0.086803,7.628310,0.929326,70.990568,1.556139,2.007866,23.647556,0.078827,0.157190,0.335531,10.595,0.506301,426.11,134.39,116.2,0.009503,0.990497,0,1,0.000000,0.000000,0.000000
2.552016,6697.609335,0.286663,22.410432,67.425240,39.886462,0.879432,1.011596,0.355739,7.710673,0.673611,95.303707,1.394356,1.761152,29.660439,0.038906,0.011991,0.279248,0.773,0.075703,28.31,7.43,91.2,0.013160,0.986840,1,1,0.000000,0.000000,0.000000
2.397117,7758.190811,0.120291,11.221896,57.736801,24.313301,0.595759,1.063203,0.557223,7.609296,0.759425,48.872940,1.590401,1.632559,32.987084,0.177276,0.407510,0.464110,20.932,0.835821,652.62,284.72,93.3,0.009262,0.990738,0,1,0.000000,0.000000,0.000000
1.578449,5126.335462,0.096635,12.195043,78.991563,20.584318,0.830323,1.442408,0.682171,8.094286,0.754039,43.297024,1.259491,2.256898,18.213319,0.108775,0.235852,0.288710,17.425,0.424675,602.88,163.61,91.1,0.009166,0.990834,0,1,0.000000,0.000000,0.000000
2.057632,3272.231585,0.167331,12.593422,79.755646,28.637287,0.933692,1.237100,0.211361,7.866199,0.940742,58.624333,1.366108,1.626935,21.454649,0.121171,0.263984,0.311328,19.404,0.462626,780.71,228.47,115.7,0.009383,0.990617,0,1,0.000000,0.000000,0.000000
2.757497,4172.704296,0.124716,10.013943,58.660050,38.434488,0.717460,1.034797,0.638555,7.755026,0.773828,67.031576,1.278970,2.282925,27.965975,0.092825,0.183823,0.354899,16.500,0.554924,392.28,130.87,97.5,0.011797,0.988203,0,1,0.000000,0.000000,0.000000
1.437977,7220.773910,0.139347,16.276689,71.136428,33.089326,0.910377,1.422611,0.191049,8.281912,0.883947,62.132666,1.733252,2.381703,20.406365,0.078429,0.156605,0.404330,7.565,0.687039,335.09,127.36,110.6,0.011298,0.988702,0,1,0.000000,0.000000,0.000000
1.264239,4452.590452,0.297480,14.162427,65.740796,46.464486,0.650634,1.048040,0.745330,8.000888,0.757600,99.310602,1.267137,1.859400,38.552074,0.082336,0.160116,0.204662,24.245,0.256686,580.09,111.60,95.0,0.013921,0.986079,0,1,0.000000,0.000000,0.000000
1.380021,4997.496016,0.275497,14.298728,68.372772,31.599208,0.889635,1.278496,0.263054,8.634705,0.889310,94.845085,1.684777,1.691890,39.737191,0.093501,0.195651,0.305006,14.792,0.437727,558.33,160.07,111.3,0.015675,0.984325,0,1,0.000000,0.000000,0.000000
1.297786,3022.586290,0.179475,11.603549,63.186282,42.597640,0.551028,1.003834,0.138394,8.122480,0.639598,46.327708,1.722664,1.441768,40.994780,0.138947,0.302296,0.321504,25.000,0.474382,588.59,177.88,80.5,0.009220,0.990780,0,1,0.000000,0.000000,0.000000
2.700794,6466.749918,0.261111,23.701241,81.828741,47.280354,0.903559,1.086308,0.225438,7.368348,0.770636,89.352647,1.498320,1.747325,41.875935,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,99.7,0.015116,0.984884,0,1,0.000000,0.000000,0.000000
