generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.557906,6892.335197,0.106053,12.915180,62.022357,18.425982,0.853288,1.062184,0.554314,7.414718,0.916885,50.186518,1.656814,1.972980,34.655760,4.500000,12.500000,0.468516,0.323127,0.419437,16.211,0.752770,495.05,272.57,108.9,0.009281,0.990719,1,1,0.950000,0.004453,0.048323
1.624542,4255.005803,0.214498,17.030048,49.293424,22.238782,0.588087,1.008966,0.657071,8.440734,0.859662,58.065577,1.389057,1.745161,33.880236,4.500000,12.500000,0.212041,0.181128,0.229992,21.794,0.492457,265.23,143.25,107.6,0.011690,0.988310,1,1,0.950000,0.257112,0.045164
0.631745,5535.313774,0.280997,10.766588,48.055242,29.419951,0.895213,1.069659,0.048651,7.695154,0.839442,39.414056,1.657600,1.729624,40.572514,4.500000,12.500000,0.116183,0.177528,0.197209,25.000,0.282985,453.24,137.10,96.0,0.000000,1.000000,1,1,0.950000,0.108986,0.016777
0.667371,2562.374484,0.186552,13.508732,71.884637,23.007062,0.681209,1.002802,0.464193,8.120835,0.895675,35.409802,1.611948,1.917755,17.906777,4.500000,12.500000,-0.031345,0.100637,0.062450,25.000,0.068621,483.60,82.93,134.5,0.000000,1.000000,1,1,0.950000,0.330081,0.069979
0.640715,5370.702022,0.390544,19.105790,70.935564,45.775906,0.906187,1.233499,0.371522,8.537279,0.882477,50.980572,1.302400,1.836700,39.417010,4.500000,12.500000,0.206975,0.112303,0.133057,19.749,0.214585,340.34,91.18,110.4,0.009282,0.990718,1,1,0.950000,0.003849,0.048134
2.155887,7243.998809,0.391553,23.729352,63.019418,24.303464,0.615115,1.114618,0.049295,8.638969,0.751741,48.514387,1.641402,1.622787,26.742970,4.500000,12.500000,0.459364,0.309117,0.488775,9.906,0.958649,307.20,213.79,94.3,0.009238,0.990762,1,1,0.950000,0.001437,0.035538
0.576153,2102.336382,0.284022,19.065933,82.078474,47.341731,0.663469,1.035480,0.950011,7.798583,0.742713,33.259291,1.302400,1.708799,26.285839,4.500000,12.500000,0.023523,0.047314,0.051545,23.754,0.053998,401.01,32.33,93.2,0.000000,1.000000,1,1,0.950000,0.002736,0.050984
0.653848,2543.241715,0.108225,21.409273,72.175991,43.675969,0.939358,1.053680,0.363704,7.444693,0.841185,34.691812,1.350235,1.807474,16.928847,4.500000,12.500000,-0.036796,0.011037,0.016473,4.274,0.062147,129.76,8.54,105.3,0.000000,1.000000,1,1,0.271429,0.328713,0.065576
1.107369,5920.420108,0.262460,20.040337,54.774714,39.777543,0.763534,1.345871,0.637845,7.904259,0.640903,52.110200,1.369641,1.873127,15.682221,4.500000,12.500000,-0.028927,0.018575,0.034221,3.696,0.132078,96.89,10.95,80.6,0.009311,0.990689,1,1,0.271429,0.421674,0.043178
0.727383,4872.577491,0.086032,20.305258,58.296784,29.085463,0.825411,1.243267,0.623663,7.498359,0.877399,36.560676,1.657600,2.151844,41.531387,4.500000,12.500000,0.008409,0.011161,0.027749,11.404,0.044698,185.71,9.01,109.8,0.000000,1.000000,1,1,0.950000,0.601174,0.129003
