study,ring_name,ring_size,category,layout,active_tier_count,rated_kw,highway_l_per_100km,mixed_l_per_100km,ers_passed,ers_total,shortfall_events,all_ers_pass,design_aligned,notes
phase1_open,,,single_micro,14/0/0,1,105.0,4.308,2.221,8,9,2,False,False,homogeneous single-tier; fails ERS (8/9)
phase1_open,,,single_medium,0/4/0,1,160.0,4.623,2.404,7,9,1,False,False,homogeneous single-tier; fails ERS (7/9)
phase1_open,,,single_large,0/0/3,1,180.0,4.988,2.601,7,9,1,False,False,homogeneous single-tier; fails ERS (7/9)
phase1_open,,,two_tier,1/4/0,2,167.5,4.582,2.394,9,9,1,True,True,
phase1_open,,,three_tier,1/2/1,3,147.5,4.583,2.418,9,9,1,True,True,
phase1_open,,,reference_4_2_2,4/2/2,3,230.0,4.459,2.346,9,9,0,True,True,validated Phase-1 vehicle stack
storyboard_ring,X4,4,highway_min_design_aligned,2/2/0,2,196.0,4.404,2.349,9,9,0,True,True,mixed
storyboard_ring,X4,4,all_three_tier_design_aligned,2/1/1,3,238.0,4.404,2.332,9,9,0,True,True,mixed
storyboard_ring,X6,6,highway_min_design_aligned,5/1/0,2,178.0,4.308,2.259,9,9,1,True,True,mixed
storyboard_ring,X6,6,all_three_tier_design_aligned,4/1/1,3,278.0,4.313,2.283,9,9,0,True,True,mixed
storyboard_ring,X8,8,highway_min_design_aligned,7/1/0,2,218.0,4.308,2.226,9,9,0,True,True,mixed
storyboard_ring,X8,8,all_three_tier_design_aligned,6/1/1,3,318.0,4.308,2.251,9,9,0,True,True,mixed
storyboard_ring,X10,10,highway_min_design_aligned,9/1/0,2,258.0,4.308,2.237,9,9,0,True,True,mixed
storyboard_ring,X10,10,all_three_tier_design_aligned,8/1/1,3,358.0,4.308,2.248,9,9,0,True,True,mixed
storyboard_ring,X12,12,highway_min_design_aligned,11/1/0,2,298.0,4.308,2.244,9,9,0,True,True,mixed
storyboard_ring,X12,12,all_three_tier_design_aligned,10/1/1,3,398.0,4.308,2.246,9,9,0,True,True,mixed
storyboard_ring,X14,14,highway_min_design_aligned,13/1/0,2,338.0,4.308,2.244,9,9,0,True,True,mixed
storyboard_ring,X14,14,all_three_tier_design_aligned,12/1/1,3,438.0,4.308,2.245,9,9,0,True,True,mixed
storyboard_ring,X16,16,highway_min_design_aligned,15/1/0,2,378.0,4.308,2.244,9,9,0,True,True,mixed
storyboard_ring,X16,16,all_three_tier_design_aligned,14/1/1,3,478.0,4.308,2.244,9,9,0,True,True,mixed
