mode,rating_profile,ring_name,ring_size,tier_mix_kind,active_tier_count,all_three_tiers,n_micro,n_medium,n_large,total_cylinders,rated_kw,highway_l_per_100km,mixed_l_per_100km,ers_passed,ers_total,shortfall_events,score,design_aligned,is_canonical_x12_target,is_reference
phase1_open,phase1,X2,2,homogeneous_large,1,False,0,0,2,2,120.0,4.988,2.58,6,9,2,-999999994.0,False,False,False
phase1_open,phase1,X3,3,homogeneous_large,1,False,0,0,3,3,180.0,4.988,2.601,7,9,1,-999999993.0,False,False,False
phase1_open,phase1,X4,4,homogeneous_large,1,False,0,0,4,4,240.0,4.988,2.582,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X5,5,homogeneous_large,1,False,0,0,5,5,300.0,4.988,2.597,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X6,6,homogeneous_large,1,False,0,0,6,6,360.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X7,7,homogeneous_large,1,False,0,0,7,7,420.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X8,8,homogeneous_large,1,False,0,0,8,8,480.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X9,9,homogeneous_large,1,False,0,0,9,9,540.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X10,10,homogeneous_large,1,False,0,0,10,10,600.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X11,11,homogeneous_large,1,False,0,0,11,11,660.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X12,12,homogeneous_large,1,False,0,0,12,12,720.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X13,13,homogeneous_large,1,False,0,0,13,13,780.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X14,14,homogeneous_large,1,False,0,0,14,14,840.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X15,15,homogeneous_large,1,False,0,0,15,15,900.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X16,16,homogeneous_large,1,False,0,0,16,16,960.0,4.988,2.598,7,9,0,-999999993.0,False,False,False
phase1_open,phase1,X2,2,mixed,2,False,0,1,1,2,100.0,4.735,2.499,6,9,2,-999999994.0,True,False,False
phase1_open,phase1,X3,3,mixed,2,False,0,1,2,3,160.0,4.735,2.517,7,9,1,-999999993.0,True,False,False
phase1_open,phase1,X4,4,mixed,2,False,0,1,3,4,220.0,4.735,2.499,7,9,0,-999999993.0,True,False,False
phase1_open,phase1,X5,5,mixed,2,False,0,1,4,5,280.0,4.735,2.517,7,9,0,-999999993.0,True,False,False
phase1_open,phase1,X6,6,mixed,2,False,0,1,5,6,340.0,4.735,2.521,7,9,0,-999999993.0,True,False,False
phase1_open,phase1,X7,7,mixed,2,False,0,1,6,7,400.0,4.735,2.521,7,9,0,-999999993.0,True,False,False
phase1_open,phase1,X8,8,mixed,2,False,0,1,7,8,460.0,4.735,2.521,7,9,0,-999999993.0,True,False,False
